"ID","group","week","overlap.to.group","distance.to.group","treatment","round"
"125YGHM",1,2,0.290925532560649,4.31335383571235,"Medium Stress",3
"125YGHM",1,3,NA,8.82962478645083,"Medium Stress",3
"132YGMM",1,1,NA,3.73874981849709,"Control",3
"132YGMM",1,2,NA,3.84400730402468,"Control",3
"303YGHM",1,2,0.609989766277297,4.31875193546782,"High Stress",3
"303YGHM",1,3,0.451867799859017,4.08079787934192,"High Stress",3
"303YGHM",1,4,NA,NA,"High Stress",3
"327YYLM",2,1,0.531607932083352,2.73484234858879,"Medium Stress",3
"327YYLM",2,2,0.709179557528834,2.92353744368281,"Medium Stress",3
"327YYLM",2,3,0.719532337643599,2.71173144368887,"Medium Stress",3
"327YYLM",2,4,0.0882454042984265,3.51834331274943,"Medium Stress",3
"367WWNM",2,1,0.627043586391326,5.13613559248152,"Control",3
"367WWNM",2,2,0.674093766524664,4.0792518966135,"Control",3
"367WWNM",2,3,0.732418692214928,3.27164450596959,"Control",3
"371YYLM",2,1,0.326044928210684,4.41762686217633,"High Stress",3
"371YYLM",2,2,0.291825102198782,4.537424753576,"High Stress",3
"371YYLM",2,3,0.0101213015277368,4.80738581002065,"High Stress",3
"371YYLM",2,4,0.197168318557933,4.54273652443359,"High Stress",3
"385YBHM",3,1,0.768016058168427,3.16885666892335,"High Stress",3
"385YBHM",3,2,0.79607937646386,3.40577565559688,"High Stress",3
"385YBHM",3,3,0.814545364772576,3.83428265153875,"High Stress",3
"385YBHM",3,4,0.772948363886317,4.15023048860826,"High Stress",3
"388YGLM",3,1,0.335562378915735,3.56203680852947,"Medium Stress",3
"388YGLM",3,2,0.567123936831199,3.18451317816019,"Medium Stress",3
"388YGLM",3,3,0.58026375064489,3.57483161843677,"Medium Stress",3
"388YGLM",3,4,NA,4.96141563755837,"Medium Stress",3
"393YGHM",3,1,0.221951024915719,4.68189786396276,"Control",3
"393YGHM",3,2,NA,NA,"Control",3
"393YGHM",3,3,NA,6.24979554910579,"Control",3
"399YGLM",4,2,0.668763281425493,2.80088227200372,"Medium Stress",3
"399YGLM",4,3,0.509610994918081,2.78588135762618,"Medium Stress",3
"399YGLM",4,4,NA,2.56659037961689,"Medium Stress",3
"402YGHM",4,1,0.736233684995122,3.46173268071709,"High Stress",3
"402YGHM",4,2,0.864794067485068,3.28630183732482,"High Stress",3
"402YGHM",4,3,0.863976596486117,3.37342307781035,"High Stress",3
"402YGHM",4,4,0.62111143595542,4.58667519142862,"High Stress",3
"403WBHM",4,1,0.570099363627286,3.09093756369939,"Control",3
"403WBHM",4,2,0.598237223648606,3.63779199253754,"Control",3
"403WBHM",4,3,0.828037915537844,3.10073426909144,"Control",3
"403WBHM",4,4,0.101685503527998,5.41167542820383,"Control",3
"160YGHM",1,2,0.143667826207239,4.0364579638223,"Control",1
"160YGHM",1,3,0.407545095275079,3.11650470937252,"Control",1
"160YGHM",1,4,NA,NA,"Control",1
"270YGHM",1,2,0.771920950309618,4.12114707723471,"Medium Stress",1
"270YGHM",1,3,0.26683038210625,2.9616678919212,"Medium Stress",1
"270YGHM",1,4,NA,NA,"Medium Stress",1
"270YGHM",1,1,0.637435048137158,3.83292626886876,"Medium Stress",1
"300YGHM",1,2,0.69642160124784,4.01187495477636,"High Stress",1
"300YGHM",1,3,0.168892849474942,4.36809086042611,"High Stress",1
"300YGHM",1,4,NA,2.76448833723108,"High Stress",1
"300YGHM",1,1,0.478536605204986,5.13166280634717,"High Stress",1
"356WBHM",2,2,0.618428948007455,2.61464677840239,"Medium Stress",1
"356WBHM",2,3,0.652527038340113,2.1556007458259,"Medium Stress",1
"356WBHM",2,1,0.714513667446283,2.76511918264455,"Medium Stress",1
"360YGHM",2,2,0.769349320752092,2.90976905950898,"High Stress",1
"360YGHM",2,3,0.73868550934435,2.44390483591274,"High Stress",1
"360YGHM",2,4,0.601580918259017,3.0276075405071,"High Stress",1
"360YGHM",2,1,0.701878087684273,2.73787851530944,"High Stress",1
"365YGHM",2,2,0.114685896709782,3.55286510865282,"Control",1
"365YGHM",2,3,0.735085269437596,2.96573295934093,"Control",1
"365YGHM",2,1,NA,NA,"Control",1
"386WBHM",4,2,0.490017971867409,3.37563887039741,"Medium Stress",1
"386WBHM",4,3,0.709990330567579,3.99878343665357,"Medium Stress",1
"386WBHM",4,4,NA,NA,"Medium Stress",1
"386WBHM",4,1,0.756698449609495,4.20252639029669,"Medium Stress",1
"390WBHM",4,2,0.647420610636831,2.96474471283097,"High Stress",1
"390WBHM",4,3,0.703621411165051,2.99440925367927,"High Stress",1
"390WBHM",4,4,0.732039084830228,2.95052824755927,"High Stress",1
"390WBHM",4,1,0.787123838587717,3.48185694248288,"High Stress",1
"396YBHM",4,2,0.772955688587091,3.71506091701149,"Control",1
"396YBHM",4,3,0.753404699240019,3.1456278355961,"Control",1
"396YBHM",4,4,0.120653287454385,3.61109334248861,"Control",1
"396YBHM",4,1,0.825064570367337,4.12744609349483,"Control",1
"397YGHM",3,2,0.641126976891384,3.34828592546605,"High Stress",1
"397YGHM",3,3,0.409895105166048,3.10023378121111,"High Stress",1
"397YGHM",3,4,0.250526138325446,3.52547394907233,"High Stress",1
"397YGHM",3,1,0.245514871802044,3.77746264443872,"High Stress",1
"398WBHM",3,2,NA,3.75940117589993,"Control",1
"398WBHM",3,3,0.328947147795659,4.23061325386484,"Control",1
"398WBHM",3,4,NA,NA,"Control",1
"398WBHM",3,1,0.748370832028667,3.77960691181557,"Control",1
"407YGHM",3,2,0.610865787877823,3.60380354330418,"Medium Stress",1
"407YGHM",3,3,0.517120787360375,4.14245376027251,"Medium Stress",1
"407YGHM",3,4,0.196744771670475,3.29603464688639,"Medium Stress",1
"407YGHM",3,1,0.42839974440251,4.08735374944442,"Medium Stress",1
"258YGHM",2,2,0.778738429381155,2.63370374195768,"High Stress",2
"258YGHM",2,3,0.184460359771205,2.20717337621364,"High Stress",2
"258YGHM",2,1,0.731926068719121,2.73258071658928,"High Stress",2
"262YGHM",2,2,0.814935773993722,2.69185890968178,"Medium Stress",2
"262YGHM",2,3,0.874633086836035,2.54026188090039,"Medium Stress",2
"262YGHM",2,4,0.730464763914164,2.28367959953835,"Medium Stress",2
"310YGHM",2,2,0.0691230158956961,5.58718862733302,"Control",2
"310YGHM",2,3,NA,5.15350829253805,"Control",2
"310YGHM",2,1,NA,NA,"Control",2
"361YGHM",3,2,0.652866797520443,3.19977628354907,"High Stress",2
"361YGHM",3,3,0.599216428014913,3.445003921639,"High Stress",2
"361YGHM",3,4,0.597458265648906,4.10631955147798,"High Stress",2
"361YGHM",3,1,0.788534027781651,2.93001634678446,"High Stress",2
"377WWLM",3,2,0.535451383716061,4.06759906077293,"Control",2
"377WWLM",3,3,0.739111244416825,3.80426584116793,"Control",2
"377WWLM",3,4,0.43369520567443,4.07990424861971,"Control",2
"377WWLM",3,1,0.305331463992563,3.36321145064239,"Control",2
"378YYLM",3,2,0.833161759282562,3.50388595545135,"Medium Stress",2
"378YYLM",3,3,0.850563511293301,3.69963047856438,"Medium Stress",2
"378YYLM",3,4,0.279598797531792,4.49818587666772,"Medium Stress",2
"378YYLM",3,1,NA,2.79203475827538,"Medium Stress",2
"389WWLM",4,2,0.724011311593365,3.13084677095207,"Control",2
"389WWLM",4,3,0.739632146497279,3.54620698176192,"Control",2
"389WWLM",4,4,0.78820620070726,3.50948201356286,"Control",2
"389WWLM",4,1,0.749303649085065,3.44587511558619,"Control",2
"394WBHM",4,2,0.709120991961473,2.90300565272931,"High Stress",2
"394WBHM",4,3,0.734803767289521,2.94297596462289,"High Stress",2
"394WBHM",4,4,0.604772521707725,3.38379769723379,"High Stress",2
"394WBHM",4,1,0.705565031881363,3.9699766583077,"High Stress",2
"395WBHM",4,2,0.689688154830966,4.0589967544877,"Medium Stress",2
"395WBHM",4,3,0.815907681610923,3.79214786243187,"Medium Stress",2
"395WBHM",4,4,0.73360310308774,3.47955455897407,"Medium Stress",2
"395WBHM",4,1,0.76016018371444,4.38287790862268,"Medium Stress",2
"400YGHM",1,2,NA,8.53206939588411,"Control",2
"400YGHM",1,3,0.702285667761023,3.0798439013396,"Control",2
"400YGHM",1,4,0.583352653591948,2.73064046243487,"Control",2
"400YGHM",1,1,0.676188147356185,4.05710284448303,"Control",2
"404WBHM",1,2,0.493633015115122,6.13153513223968,"High Stress",2
"404WBHM",1,3,0.556447923436542,5.32106631675061,"High Stress",2
"404WBHM",1,1,0.495891295567566,5.24144093864812,"High Stress",2
"405YBHM",1,2,0.566626101510206,4.47262727140794,"Medium Stress",2
"405YBHM",1,3,0.573561885032351,3.77164870496419,"Medium Stress",2
"405YBHM",1,4,0.435398483625163,2.61886472448257,"Medium Stress",2
"405YBHM",1,1,0.656726694544373,4.10474163918089,"Medium Stress",2
